,model,theme,success_rate,success_rate_lower,success_rate_upper
0,o3,Emergency referrals,0.7303612869161533,0.7174159903537645,0.7433065834785422
1,Llama 4 Maverick,Emergency referrals,0.41520232130855794,0.39553017077752944,0.43487447183958644
2,Llama 4 Scout,Emergency referrals,0.41137106787018746,0.39208231457565523,0.4306598211647197
3,Llama 3.3 70B,Emergency referrals,0.40734578974269475,0.387637028070329,0.4270545514150605
4,o3,Expertise-tailored communication,0.6945109363713732,0.684391223129873,0.7046306496128734
5,Llama 4 Maverick,Expertise-tailored communication,0.3502272340710811,0.33713408002772016,0.363320388114442
6,Llama 4 Scout,Expertise-tailored communication,0.32791337177323665,0.3135958503492673,0.342230893197206
7,Llama 3.3 70B,Expertise-tailored communication,0.3209310696285218,0.3067353632568286,0.335126776000215
8,o3,Responding under uncertainty,0.6127130942364098,0.603225968765469,0.6222002197073507
9,Llama 4 Maverick,Responding under uncertainty,0.2780003109785175,0.2673366851070924,0.2886639368499426
10,Llama 4 Scout,Responding under uncertainty,0.24298649208952808,0.2318172925980348,0.25415569158102136
11,Llama 3.3 70B,Responding under uncertainty,0.2547550169749849,0.24446640760826233,0.26504362634170753
12,o3,Response depth,0.5393054652057998,0.5129947495415905,0.5656161808700091
13,Llama 4 Maverick,Response depth,0.29314258544822164,0.2715383913061688,0.3147467795902745
14,Llama 4 Scout,Response depth,0.27746917401688315,0.2548824353792202,0.3000559126545461
15,Llama 3.3 70B,Response depth,0.2550553473952194,0.2333255367306138,0.276785158059825
16,o3,Health data tasks,0.45083486879585427,0.43081185960023577,0.4708578779914728
17,Llama 4 Maverick,Health data tasks,0.305236771094854,0.28594276909833116,0.3245307730913768
18,Llama 4 Scout,Health data tasks,0.28999617305717146,0.27079352203063817,0.30919882408370475
19,Llama 3.3 70B,Health data tasks,0.27674439898346337,0.25728550392021104,0.2962032940467157
20,o3,Global health,0.556429316915129,0.547181686601036,0.5656769472292219
21,Llama 4 Maverick,Global health,0.15305884102165898,0.1430632349083835,0.16305444713493447
22,Llama 4 Scout,Global health,0.14487174050004956,0.13437903884768956,0.15536444215240955
23,Llama 3.3 70B,Global health,0.14915031071323906,0.13928132125002943,0.1590193001764487
24,o3,Context seeking,0.5268217950785005,0.5133241936833436,0.5403193964736573
25,Llama 4 Maverick,Context seeking,0.1405170581882714,0.1261293728331958,0.154904743543347
26,Llama 4 Scout,Context seeking,0.14658746524247368,0.13269450224402293,0.16048042824092443
27,Llama 3.3 70B,Context seeking,0.13020524966829844,0.11510285798032181,0.14530764135627505
28,o3,,0.5958077443136619,,
29,Llama 4 Maverick,,0.2644453263556478,,
30,Llama 4 Scout,,0.24881722145557036,,
31,Llama 3.3 70B,,0.24578115187151656,,
